"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","pH","sulphates","alcohol","quality","type_wine"
"1320",9.1,0.76,0.68,1.7,0.414,64,2.9,1.33,9.1,6,1
"1052",8.5,0.46,0.59,1.4,0.414,45,3.03,1.34,9.2,5,1
"693",8.6,0.49,0.51,2,0.422,62,3.03,1.17,9,5,1
"755",7.8,0.48,0.68,1.7,0.415,32,3.09,1.06,9.1,6,1
"1371",8.7,0.78,0.51,1.7,0.415,66,3,1.17,9.2,5,1
"1373",8.7,0.78,0.51,1.7,0.415,66,3,1.17,9.2,5,1
"93",8.6,0.49,0.29,2,0.11,133,2.93,1.98,9.8,5,1
"452",8.4,0.37,0.53,1.8,0.413,26,3.06,1.06,9.1,6,1
"170",7.5,0.705,0.24,1.8,0.36,63,3,1.59,9.5,5,1
"2345",7.4,0.2,1.66,2.1,0.022,113,3.26,0.55,12.2,6,0
"87",8.6,0.49,0.28,1.9,0.11,136,2.93,1.95,9.9,6,1
"92",8.6,0.49,0.28,1.9,0.11,136,2.93,1.95,9.9,6,1
"84",7.3,0.67,0.26,1.8,0.401,51,3.16,1.14,9.4,5,1
"1261",8.6,0.635,0.68,1.8,0.403,56,3.02,1.15,9.3,5,1
"2084",6.2,0.37,0.3,6.6,0.346,200,3.29,0.58,9.6,5,0
"731",9.5,0.55,0.66,2.3,0.387,37,3.17,0.67,9.6,5,1
"292",11,0.2,0.48,2,0.343,18,3.3,0.71,10.5,5,1
"227",8.9,0.59,0.5,2,0.337,81,3.04,1.61,9.5,6,1
"18",8.1,0.56,0.28,1.7,0.368,56,3.11,1.28,9.3,5,1
"282",7.7,0.27,0.68,3.5,0.358,10,3.25,1.08,9.9,7,1
"1166",8.5,0.44,0.5,1.9,0.369,38,3.01,1.1,9.4,5,1
"724",7.1,0.31,0.3,2.2,0.053,127,2.94,1.62,9.5,5,1
"653",15.9,0.36,0.65,7.5,0.096,71,2.98,0.84,14.9,5,1
"6345",6.1,0.26,0.25,2.9,0.047,440,3.44,0.64,10.5,3,0
"2817",8,0.61,0.38,12.1,0.301,220,2.94,0.48,9.2,5,0
"20",7.9,0.32,0.51,1.8,0.341,56,3.04,1.08,9.2,6,1
"1300",7.6,1.58,0,2.1,0.137,9,3.5,0.4,10.9,3,1
"1082",7.9,0.3,0.68,8.3,0.05,289,3.01,0.51,12.3,7,1
"43",7.5,0.49,0.2,2.6,0.332,14,3.21,0.9,10.5,6,1
"4752",7.6,0.25,1.23,4.6,0.035,294,3.03,0.43,13.1,6,0
"1080",7.9,0.3,0.68,8.3,0.05,278,3.01,0.51,12.3,7,1
"2287",6.8,0.67,0.3,13,0.29,193,3.08,0.67,9,4,0
"6073",7.1,0.36,0.2,1.6,0.271,140,3.11,0.63,9.8,5,0
"862",5.8,1.01,0.66,2,0.039,88,3.66,0.6,11.5,6,1
"3017",8.6,0.55,0.35,15.55,0.057,366.5,3.04,0.63,11,3,0
"14",7.8,0.61,0.29,1.6,0.114,29,3.26,1.56,9.1,5,1
"3126",14.2,0.27,0.49,1.1,0.037,156,3.15,0.54,11.1,6,0
"2634",7.9,0.64,0.46,10.6,0.244,227,2.87,0.74,9.1,3,0
"1375",6.8,0.815,0,1.2,0.267,29,3.32,0.51,9.8,3,1
"3465",7.6,0.36,0.44,8.3,0.255,142,3.12,0.43,10.2,6,0
"443",15.6,0.685,0.76,3.7,0.1,43,2.95,0.68,11.2,7,1
"3551",9.9,1.005,0.46,1.4,0.046,185,3.02,0.49,10.2,4,0
"615",9.2,0.755,0.18,2.2,0.148,103,2.87,1.36,10.2,6,1
"3375",7.7,0.49,1,19.6,0.03,135,3.24,0.4,12,6,0
"3786",6.5,0.39,0.81,1.2,0.217,74,3.08,0.53,9.5,5,0
"673",9.8,1.24,0.34,2,0.079,151,3.15,0.53,9.5,5,1
"244",15,0.21,0.44,2.2,0.075,24,3.07,0.84,9.2,7,1
"245",15,0.21,0.44,2.2,0.075,24,3.07,0.84,9.2,7,1
"558",15.6,0.645,0.49,4.2,0.095,23,2.92,0.74,11.1,5,1
"5639",6.1,1.1,0.16,4.4,0.033,109,3.35,0.47,12.4,4,0
"6080",5.9,0.22,0.45,22.6,0.12,122,3.1,0.35,12.8,5,0
"555",15.5,0.645,0.49,4.2,0.095,23,2.92,0.74,11.1,5,1
"556",15.5,0.645,0.49,4.2,0.095,23,2.92,0.74,11.1,5,1
"5097",7.7,0.43,1,19.95,0.032,164,3.29,0.5,12,6,0
"128",8.1,1.33,0,1.8,0.082,12,3.54,0.48,10.9,5,1
"127",8.2,1.33,0,1.7,0.081,12,3.53,0.49,10.9,5,1
"3322",7.5,0.4,1,19.5,0.041,148,3.24,0.38,12,6,0
"1575",5.6,0.31,0.78,13.9,0.074,92,3.39,0.48,10.5,6,1
"340",12.5,0.28,0.54,2.3,0.082,29,3.11,1.36,9.8,7,1
"3238",7.6,0.47,0.49,13,0.239,220,2.96,0.51,9.2,5,0
"3151",6.6,0.19,0.99,1.2,0.122,129,3.09,0.31,8.7,6,0
"2283",6.4,0.27,0.32,4.5,0.24,174,3.12,0.48,9.4,5,0
"4643",7.2,0.21,1,1.1,0.154,114,2.95,0.43,9.2,6,0
"1571",6.4,0.36,0.53,2.2,0.23,35,3.37,0.93,12.4,6,1
"354",13.5,0.53,0.79,4.8,0.12,77,3.18,0.77,13,5,1
"241",8.9,0.635,0.37,1.7,0.263,62,3,1.09,9.3,5,1
"3754",9.8,0.93,0.45,8.6,0.052,187,3.12,0.59,10.2,4,0
"3456",10,0.91,0.42,1.6,0.056,181,3.11,0.46,10,4,0
"182",8.9,0.61,0.49,2,0.27,110,3.12,1.02,9.3,5,1
"4268",9.6,0.655,0.21,2,0.039,120,3,1,12.6,6,0
"3531",7.1,0.49,0.22,2,0.047,307.5,3.24,0.37,11,3,0
"5448",7.1,0.39,0.79,1.4,0.194,90,3.17,0.46,10.5,6,0
"6392",4.7,0.785,0,3.4,0.036,134,3.53,0.92,13.8,6,0
"3727",9.1,0.33,0.38,1.7,0.062,344,3.1,0.7,9.5,5,0
"6415",6.2,0.76,0.01,3.2,0.041,120,3.2,0.94,13.7,7,0
"1018",8,0.18,0.37,0.9,0.049,109,2.89,0.44,12.7,6,1
"1019",8,0.18,0.37,0.9,0.049,109,2.89,0.44,12.7,6,1
"691",7.4,1.185,0,4.25,0.097,14,3.63,0.54,10.7,3,1
"5773",7.1,0.34,0.86,1.4,0.174,99,2.92,0.5,9.3,5,0
"39",5.7,1.13,0.09,1.5,0.172,19,3.5,0.48,9.8,4,1
"545",14.3,0.31,0.74,1.8,0.075,15,2.86,0.79,8.4,6,1
"46",4.6,0.52,0.15,2.1,0.054,65,3.9,0.56,13.1,4,1
"569",9.8,0.5,0.49,2.6,0.25,20,3.31,0.79,10.7,6,1
"796",10.8,0.89,0.3,2.6,0.132,60,2.99,1.18,10.2,5,1
"777",6.9,0.765,0.18,2.4,0.243,48,3.4,0.6,10.3,6,1
"3650",11.8,0.23,0.38,11.1,0.034,123,2.93,0.55,9.7,3,0
"3526",6.3,0.22,0.57,1.4,0.208,96,3.16,0.43,10,6,0
"640",8.9,0.29,0.35,1.9,0.067,57,3.18,1.36,10.3,6,1
"554",5,1.04,0.24,1.6,0.05,96,3.74,0.62,11.5,5,1
"2845",8,0.66,0.72,17.55,0.042,233,2.92,0.68,9.4,4,0
"355",6.1,0.21,0.4,1.4,0.066,165,3.25,0.59,11.9,6,1
"778",6.9,0.635,0.17,2.4,0.241,18,3.4,0.59,10.3,6,1
"3525",6.3,0.2,0.58,1.4,0.204,97,3.16,0.43,10,6,0
"3435",8,0.55,0.42,12.6,0.211,213,2.99,0.56,9.3,5,0
"3253",7.9,0.33,0.28,31.6,0.053,176,3.15,0.38,8.8,6,0
"3263",7.9,0.33,0.28,31.6,0.053,176,3.15,0.38,8.8,6,0
"2758",5.7,0.26,0.27,4.1,0.201,189.5,3.27,0.38,9.4,6,0
"2763",5.7,0.26,0.27,4.1,0.201,189.5,3.27,0.38,9.4,6,0
"1236",6,0.33,0.32,12.9,0.054,113,3.3,0.56,11.5,4,1
"1099",8,0.31,0.45,2.1,0.216,16,3.15,0.81,12.5,7,1
"6097",6.3,0.29,0.3,8.1,0.212,150,3.1,0.4,9.3,5,0
"2546",8.2,0.345,1,18.2,0.047,205,2.96,0.43,9.6,5,0
"3198",6.3,0.24,0.74,1.4,0.172,108,3.27,0.39,9.9,6,0
"1115",5,0.4,0.5,4.3,0.046,80,3.49,0.66,13.6,6,1
"341",12.2,0.34,0.5,2.4,0.066,21,3.12,1.18,9.2,6,1
"5335",6.1,0.22,0.46,1.8,0.16,74,3.19,0.33,13.4,6,0
"1559",6.9,0.63,0.33,6.7,0.235,115,3.22,0.56,9.5,5,1
"5899",6.3,0.28,0.3,6.6,0.208,154,3.1,0.4,9.4,6,0
"4420",6.7,0.325,0.82,1.2,0.152,120,2.99,0.38,9.2,5,0
"4883",6.6,0.2,0.14,4.4,0.184,168,2.93,0.45,9.4,6,0
"4888",6.6,0.2,0.14,4.4,0.184,168,2.93,0.45,9.4,6,0
